rect,N,exactArea,estArea,relError,absError
Wider,90600,0.944517,0.95431,0.0103682,0.00979297
Wider,91100,0.944517,0.963595,0.0201984,0.0190778
Wider,91600,0.944517,0.943223,0.00136994,0.00129393
Wider,92100,0.944517,0.935176,0.00988944,0.00934075
Wider,92600,0.944517,0.94243,0.00221,0.00208738
Wider,93100,0.944517,0.960526,0.0169495,0.0160091
Wider,93600,0.944517,0.95762,0.0138727,0.013103
Wider,94100,0.944517,0.947845,0.0035237,0.00332819
Wider,94600,0.944517,0.949699,0.00548592,0.00518155
Wider,95100,0.944517,0.955526,0.0116552,0.0110086
Wider,95600,0.944517,0.949759,0.00555017,0.00524223
Wider,96100,0.944517,0.946985,0.00261268,0.00246773
Wider,96600,0.944517,0.937391,0.00754447,0.00712588
Wider,97100,0.944517,0.974827,0.0320908,0.0303103
Wider,97600,0.944517,0.94335,0.00123531,0.00116678
Wider,98100,0.944517,0.947408,0.0030609,0.00289107
Wider,98600,0.944517,0.939746,0.00505098,0.00477074
Wider,99100,0.944517,0.940073,0.00470508,0.00444403
Wider,99600,0.944517,0.948145,0.003841,0.00362789
Accurate,100,0.944517,0.95175,0.00765768,0.00723281
Accurate,600,0.944517,0.9315,0.0137818,0.0130172
Accurate,1100,0.944517,0.946227,0.00181054,0.00171009
Accurate,1600,0.944517,0.961875,0.0183774,0.0173578
Accurate,2100,0.944517,0.939214,0.0056144,0.0053029
Accurate,2600,0.944517,0.942404,0.00223748,0.00211334
Accurate,3100,0.944517,0.939992,0.00479107,0.00452525
Accurate,3600,0.944517,0.9315,0.0137818,0.0130172
Accurate,4100,0.944517,0.940884,0.00384645,0.00363304
Accurate,4600,0.944517,0.969359,0.0263007,0.0248415
Accurate,5100,0.944517,0.950559,0.00639654,0.00604164
Accurate,5600,0.944517,0.951027,0.00689199,0.0065096
Accurate,6100,0.944517,0.942455,0.00218341,0.00206227
Accurate,6600,0.944517,0.953898,0.00993157,0.00938054
Accurate,7100,0.944517,0.952891,0.00886554,0.00837366
Accurate,7600,0.944517,0.940559,0.00419047,0.00395798
Accurate,8100,0.944517,0.9595,0.0158629,0.0149828
Accurate,8600,0.944517,0.937858,0.00705083,0.00665963
Accurate,9100,0.944517,0.946854,0.0024745,0.00233721
Accurate,9600,0.944517,0.934031,0.0111019,0.0104859
Accurate,10100,0.944517,0.957364,0.0136013,0.0128467
Accurate,10600,0.944517,0.945828,0.00138763,0.00131064
Accurate,11100,0.944517,0.939527,0.00528329,0.00499016
Accurate,11600,0.944517,0.943894,0.000659373,0.000622789
Accurate,12100,0.944517,0.952085,0.00801206,0.00756752
Accurate,12600,0.944517,0.936643,0.00833688,0.00787433
Accurate,13100,0.944517,0.937219,0.0077264,0.00729772
Accurate,13600,0.944517,0.947432,0.00308602,0.0029148
